project_id,plot_id,parcel_id,state,project_type,total_land_required_hectares,land_acquired_percent,pending_approvals,compensation_pending_percent,legal_cases,affected_families,rr_completed_percent,possession_percent,planned_duration_months,environmental_clearance,forest_clearance,previous_delay_days,delay_days,delay_risk,project_status,year,district,project_name,project_reference,data_provenance,ministry,key_event,urban_rural,forest_district,compensation_status,rehabilitation_status,objection_count,project_completion_status
LA-REF-0002,PLOT-00011,PARCEL-00011,Maharashtra,Railway,15.0,52.9,1,67.9,0,107,36.6,49.7,63,Approved,Not Required,18,158,Medium,In Progress,2021,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Urban,No,Not Started,Partially Complete,0,Completed
LA-REF-0002,PLOT-00012,PARCEL-00012,Maharashtra,Railway,15.0,52.9,3,64.0,0,107,42.2,41.1,63,Approved,Not Required,120,158,Medium,In Progress,2022,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Administrative Review,Urban,No,Partially Disbursed,Partially Complete,0,Completed
LA-REF-0002,PLOT-00013,PARCEL-00013,Maharashtra,Railway,15.0,87.9,0,47.5,0,107,72.3,79.7,63,Approved,Not Required,93,158,Medium,Near Completion,2023,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Urban,No,Partially Disbursed,Substantially Complete,0,Completed
LA-REF-0002,PLOT-00014,PARCEL-00014,Maharashtra,Railway,15.0,100.0,0,30.5,0,107,60.8,74.4,63,Approved,Not Required,158,158,Medium,Completed,2024,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 2,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Urban,No,Substantially Disbursed,Partially Complete,0,Completed
LA-REF-0003,PLOT-00015,PARCEL-00015,Gujarat,Railway,15.0,7.6,1,95.1,0,42,6.2,6.5,82,Pending,Not Required,0,721,High,Early Stage,2017,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0003,PLOT-00016,PARCEL-00016,Gujarat,Railway,15.0,9.7,2,92.9,0,42,5.7,8.0,82,Approved,Not Required,93,721,High,In Progress,2018,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0003,PLOT-00017,PARCEL-00017,Gujarat,Railway,15.0,32.1,1,87.7,0,42,20.6,26.3,82,Pending,Not Required,195,721,High,In Progress,2019,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0003,PLOT-00018,PARCEL-00018,Gujarat,Railway,15.0,32.1,0,86.7,3,42,18.6,23.2,82,Pending,Not Required,327,721,High,In Progress,2020,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Litigation Begins,Rural,No,Not Started,Not Started,1,Ongoing
LA-REF-0003,PLOT-00019,PARCEL-00019,Gujarat,Railway,15.0,32.2,1,84.4,3,42,25.2,27.1,82,Pending,Not Required,343,721,High,In Progress,2021,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Rural,No,Not Started,Not Started,1,Ongoing
LA-REF-0003,PLOT-00020,PARCEL-00020,Gujarat,Railway,15.0,32.2,0,83.0,4,42,27.7,27.1,82,Pending,Not Required,409,721,High,In Progress,2022,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Rural,No,Not Started,Not Started,1,Ongoing
LA-REF-0003,PLOT-00021,PARCEL-00021,Gujarat,Railway,15.0,32.4,2,80.3,5,42,21.8,25.5,82,Pending,Not Required,564,721,High,In Progress,2023,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Rural,No,Not Started,Not Started,1,Ongoing
LA-REF-0003,PLOT-00022,PARCEL-00022,Gujarat,Railway,15.0,57.7,2,71.6,5,42,45.2,47.7,82,Approved,Not Required,626,721,High,In Progress,2024,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Litigation Resolved,Rural,No,Not Started,Partially Complete,1,Ongoing
LA-REF-0003,PLOT-00023,PARCEL-00023,Gujarat,Railway,15.0,62.7,2,67.0,5,42,42.2,52.3,82,Approved,Not Required,715,721,High,In Progress,2025,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 3,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Not Started,Partially Complete,2,Ongoing
LA-REF-0004,PLOT-00024,PARCEL-00024,Gujarat,Railway,15.0,17.7,1,85.9,0,54,10.7,16.3,85,Pending,Not Required,17,334,Medium,Early Stage,2016,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Rural,No,Not Started,Not Started,0,Completed
LA-REF-0004,PLOT-00025,PARCEL-00025,Gujarat,Railway,15.0,26.9,3,69.6,0,54,22.4,19.1,85,Pending,Not Required,36,334,Medium,In Progress,2017,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,No,Not Started,Not Started,0,Completed
LA-REF-0004,PLOT-00026,PARCEL-00026,Gujarat,Railway,15.0,29.2,2,65.9,0,54,19.1,20.8,85,Pending,Not Required,96,334,Medium,In Progress,2018,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Administrative Review,Rural,No,Partially Disbursed,Not Started,0,Completed
LA-REF-0004,PLOT-00027,PARCEL-00027,Gujarat,Railway,15.0,49.5,0,49.3,0,54,29.0,36.2,85,Approved,Not Required,117,334,Medium,In Progress,2019,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Rural,No,Partially Disbursed,Not Started,1,Completed
LA-REF-0004,PLOT-00028,PARCEL-00028,Gujarat,Railway,15.0,56.1,2,35.0,0,54,36.5,47.2,85,Approved,Not Required,169,334,Medium,In Progress,2020,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Partially Complete,1,Completed
LA-REF-0004,PLOT-00029,PARCEL-00029,Gujarat,Railway,15.0,75.4,2,19.3,0,54,66.5,58.9,85,Approved,Not Required,225,334,Medium,In Progress,2022,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Substantially Disbursed,Partially Complete,1,Completed
LA-REF-0004,PLOT-00030,PARCEL-00030,Gujarat,Railway,15.0,88.1,0,11.4,0,54,71.9,69.9,85,Approved,Not Required,272,334,Medium,Near Completion,2023,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Substantially Disbursed,Substantially Complete,1,Completed
LA-REF-0004,PLOT-00031,PARCEL-00031,Gujarat,Railway,15.0,100.0,0,0.5,0,54,65.0,81.6,85,Approved,Not Required,298,334,Medium,Completed,2024,Surat,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 4,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Rural,No,Substantially Disbursed,Partially Complete,1,Completed
LA-REF-0005,PLOT-00032,PARCEL-00032,Gujarat,Railway,33.8,0.7,3,97.0,0,127,0.5,0.6,67,Approved,Approved,15,207,Medium,Early Stage,2019,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Forest Clearance Received,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0005,PLOT-00033,PARCEL-00033,Gujarat,Railway,33.8,19.8,1,83.6,0,127,15.8,17.8,67,Pending,Pending,56,207,Medium,In Progress,2020,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0005,PLOT-00034,PARCEL-00034,Gujarat,Railway,33.8,38.2,0,70.7,0,127,27.5,28.8,67,Approved,Pending,37,207,Medium,In Progress,2021,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0005,PLOT-00035,PARCEL-00035,Gujarat,Railway,33.8,47.2,0,58.9,0,127,33.8,38.9,67,Approved,Approved,92,207,Medium,In Progress,2022,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Partially Complete,0,Ongoing
LA-REF-0005,PLOT-00036,PARCEL-00036,Gujarat,Railway,33.8,58.9,2,47.7,0,127,39.8,51.3,67,Approved,Approved,178,207,Medium,In Progress,2023,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Rural,No,Partially Disbursed,Partially Complete,0,Ongoing
LA-REF-0005,PLOT-00037,PARCEL-00037,Gujarat,Railway,33.8,69.2,1,40.9,0,127,48.1,64.7,67,Approved,Approved,180,207,Medium,In Progress,2024,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Partially Complete,0,Ongoing
LA-REF-0005,PLOT-00038,PARCEL-00038,Gujarat,Railway,33.8,82.3,1,31.2,0,127,49.0,71.0,67,Approved,Approved,207,207,Medium,Near Completion,2025,Vadodara,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 5,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Substantially Disbursed,Partially Complete,0,Ongoing
LA-REF-0006,PLOT-00039,PARCEL-00039,Gujarat,Railway,15.0,15.7,2,95.7,0,105,8.9,13.2,84,Pending,Not Required,0,1266,High,Early Stage,2017,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Urban,No,Not Started,Not Started,0,Ongoing
LA-REF-0006,PLOT-00040,PARCEL-00040,Gujarat,Railway,15.0,16.3,4,92.9,3,105,11.9,14.4,84,Approved,Not Required,189,1266,High,In Progress,2018,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Urban,No,Not Started,Not Started,0,Ongoing
LA-REF-0006,PLOT-00041,PARCEL-00041,Gujarat,Railway,15.0,19.0,1,89.8,3,105,14.9,16.6,84,Pending,Not Required,342,1266,High,In Progress,2019,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Urban,No,Not Started,Not Started,0,Ongoing
LA-REF-0006,PLOT-00042,PARCEL-00042,Gujarat,Railway,15.0,19.7,1,88.6,3,105,13.6,16.8,84,Pending,Not Required,624,1266,High,In Progress,2021,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Urban,No,Not Started,Not Started,1,Ongoing
LA-REF-0006,PLOT-00043,PARCEL-00043,Gujarat,Railway,15.0,22.7,4,86.9,3,105,14.9,18.5,84,Pending,Not Required,815,1266,High,In Progress,2022,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Court Stay,Urban,No,Not Started,Not Started,4,Ongoing
LA-REF-0006,PLOT-00044,PARCEL-00044,Gujarat,Railway,15.0,52.9,0,81.1,3,105,41.6,49.5,84,Approved,Not Required,961,1266,High,In Progress,2023,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Litigation Resolved,Urban,No,Not Started,Partially Complete,4,Ongoing
LA-REF-0006,PLOT-00045,PARCEL-00045,Gujarat,Railway,15.0,64.0,0,77.0,3,105,47.8,53.2,84,Approved,Not Required,1082,1266,High,In Progress,2024,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Urban,No,Not Started,Partially Complete,4,Ongoing
LA-REF-0006,PLOT-00046,PARCEL-00046,Gujarat,Railway,15.0,81.6,0,70.9,3,105,48.5,76.0,84,Approved,Not Required,1243,1266,High,Near Completion,2025,Ahmedabad,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 6,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Urban,No,Not Started,Partially Complete,4,Ongoing
LA-REF-0007,PLOT-00047,PARCEL-00047,Maharashtra,Railway,89.2,0.3,2,98.5,0,38,0.3,0.3,56,Approved,Approved,0,49,Low,Early Stage,2017,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Forest Clearance Received,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0007,PLOT-00048,PARCEL-00048,Maharashtra,Railway,89.2,21.8,3,89.2,0,38,12.5,20.3,56,Pending,Pending,2,49,Low,In Progress,2018,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0007,PLOT-00049,PARCEL-00049,Maharashtra,Railway,89.2,46.3,1,70.4,0,38,29.1,44.0,56,Approved,Approved,19,49,Low,In Progress,2019,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Not Started,Not Started,0,Completed
LA-REF-0007,PLOT-00050,PARCEL-00050,Maharashtra,Railway,89.2,64.5,0,51.3,0,38,52.0,57.3,56,Approved,Approved,17,49,Low,In Progress,2020,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Partially Complete,0,Completed
LA-REF-0007,PLOT-00051,PARCEL-00051,Maharashtra,Railway,89.2,82.1,0,38.9,0,38,50.9,63.8,56,Approved,Approved,49,49,Low,Near Completion,2021,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Partially Disbursed,Partially Complete,0,Completed
LA-REF-0007,PLOT-00052,PARCEL-00052,Maharashtra,Railway,89.2,93.4,0,24.4,0,38,78.4,79.7,56,Approved,Approved,43,49,Low,Near Completion,2022,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Substantially Disbursed,Substantially Complete,0,Completed
LA-REF-0007,PLOT-00053,PARCEL-00053,Maharashtra,Railway,89.2,100.0,0,16.9,0,38,76.3,80.0,56,Approved,Approved,25,49,Low,Completed,2023,Palghar,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 7,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,Yes,Substantially Disbursed,Substantially Complete,0,Completed
LA-REF-0008,PLOT-00054,PARCEL-00054,Maharashtra,Railway,15.0,1.9,4,98.0,0,43,1.2,1.6,74,Approved,Not Required,0,173,Medium,Early Stage,2018,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 8,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Environmental Clearance Received,Urban,No,Not Started,Not Started,0,Completed
LA-REF-0008,PLOT-00055,PARCEL-00055,Maharashtra,Railway,15.0,43.8,2,87.8,0,43,37.5,38.9,74,Approved,Not Required,0,173,Medium,In Progress,2019,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 8,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Urban,No,Not Started,Partially Complete,0,Completed
LA-REF-0008,PLOT-00056,PARCEL-00056,Maharashtra,Railway,15.0,66.7,0,82.2,0,43,58.1,49.0,74,Approved,Not Required,74,173,Medium,In Progress,2020,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 8,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Objections Filed,Urban,No,Not Started,Partially Complete,12,Completed
LA-REF-0008,PLOT-00057,PARCEL-00057,Maharashtra,Railway,15.0,83.9,1,74.1,0,43,48.4,67.4,74,Approved,Not Required,91,173,Medium,Near Completion,2021,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 8,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,No Major Update,Urban,No,Not Started,Partially Complete,12,Completed
LA-REF-0008,PLOT-00058,PARCEL-00058,Maharashtra,Railway,15.0,100.0,0,62.5,0,43,72.7,75.0,74,Approved,Not Required,124,173,Medium,Completed,2022,Thane,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 8,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Urban,No,Partially Disbursed,Substantially Complete,12,Completed
LA-REF-0009,PLOT-00059,PARCEL-00059,Gujarat,Railway,15.0,7.3,0,84.9,0,89,4.9,5.8,77,Pending,Not Required,29,207,Medium,Early Stage,2019,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Notification Issued,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0009,PLOT-00060,PARCEL-00060,Gujarat,Railway,15.0,18.0,0,75.9,0,89,13.4,14.2,77,Pending,Not Required,48,207,Medium,In Progress,2020,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Compensation Initiated,Rural,No,Not Started,Not Started,0,Ongoing
LA-REF-0009,PLOT-00061,PARCEL-00061,Gujarat,Railway,15.0,19.9,3,71.5,0,89,13.0,15.8,77,Pending,Not Required,90,207,Medium,In Progress,2021,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Administrative Review,Rural,No,Not Started,Not Started,1,Ongoing
LA-REF-0009,PLOT-00062,PARCEL-00062,Gujarat,Railway,15.0,35.1,3,58.7,0,89,27.9,30.1,77,Approved,Not Required,108,207,Medium,In Progress,2022,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Not Started,1,Ongoing
LA-REF-0009,PLOT-00063,PARCEL-00063,Gujarat,Railway,15.0,41.0,3,46.2,0,89,31.9,30.9,77,Approved,Not Required,117,207,Medium,In Progress,2023,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Not Started,1,Ongoing
LA-REF-0009,PLOT-00064,PARCEL-00064,Gujarat,Railway,15.0,47.5,1,37.5,0,89,37.4,34.9,77,Approved,Not Required,164,207,Medium,In Progress,2025,Vapi,Mumbai-Ahmedabad High Speed Rail (Bullet Train) - Package 9,Mumbai-Ahmedabad High Speed Rail (Bullet Train),Historical Snapshot (real project reference),Ministry of Railways,Routine Progress,Rural,No,Partially Disbursed,Partially Complete,1,Ongoing
